date,home_team,away_team,home_score,away_score,competition,stadium,city,country,neutral,world_cup
18/08/1928,South Africa,New Zealand,11,6,1928 New Zealand tour,Crusaders Ground,Port Elizabeth,South Africa,FALSE,FALSE
01/09/1928,South Africa,New Zealand,5,13,1928 New Zealand tour,Newlands,Cape Town,South Africa,FALSE,FALSE
31/12/1928,France,Ireland,0,6,1929 Five Nations Championship,Colombes,Paris,France,FALSE,FALSE
19/01/1929,England,Wales,8,3,1929 Five Nations Championship,Twickenham,London,England,FALSE,FALSE
19/01/1929,Scotland,France,6,3,1929 Five Nations Championship,Murrayfield,Edinburgh,Scotland,FALSE,FALSE
02/02/1929,Wales,Scotland,14,7,1929 Five Nations Championship,St Helen's,Swansea,Wales,FALSE,FALSE
09/02/1929,England,Ireland,5,6,1929 Five Nations Championship,Twickenham,London,England,FALSE,FALSE
23/02/1929,Wales,France,8,3,1929 Five Nations Championship,National Stadium,Cardiff,Wales,FALSE,FALSE
23/02/1929,Ireland,Scotland,7,16,1929 Five Nations Championship,Lansdowne Road,Dublin,Ireland,FALSE,FALSE
09/03/1929,Ireland,Wales,5,5,1929 Five Nations Championship,Ravenhill,Belfast,Ireland,FALSE,FALSE
16/03/1929,Scotland,England,12,6,1929 Five Nations Championship,Murrayfield Stadium,Edinburgh,Scotland,FALSE,FALSE
01/04/1929,France,England,6,16,1929 Five Nations Championship,Stade Yves-du-Manoir,Colombes,France,FALSE,FALSE
06/07/1929,Australia,New Zealand,8,9,1929 New Zealand tour of Australia,Sydney Cricket Ground,Sydney,Australia,FALSE,FALSE
20/07/1929,Australia,New Zealand,17,9,1929 New Zealand tour of Australia,Brisbane Exhibition Ground,Brisbane,Australia,FALSE,FALSE
27/07/1929,Australia,New Zealand,15,13,1929 New Zealand tour of Australia,Sydney Cricket Ground,Sydney,Australia,FALSE,FALSE
01/01/1930,France,Scotland,7,3,1930 Five Nations Championship,Stade Yves-du-Manoir,Colombes,France,FALSE,FALSE
18/01/1930,Wales,England,3,11,1930 Five Nations Championship,Cardiff Arms Park,Cardiff,Wales,FALSE,FALSE
25/01/1930,Ireland,France,0,5,1930 Five Nations Championship,Ravenhill Stadium,Belfast,Ireland,FALSE,FALSE
01/02/1930,Scotland,Wales,12,9,1930 Five Nations Championship,Murrayfield Stadium,Edinburgh,Scotland,FALSE,FALSE
08/02/1930,Ireland,England,4,3,1930 Five Nations Championship,Lansdowne Road,Dublin,Ireland,FALSE,FALSE
22/02/1930,Scotland,Ireland,11,14,1930 Five Nations Championship,Murrayfield Stadium,Edinburgh,Scotland,FALSE,FALSE
22/02/1930,England,France,11,5,1930 Five Nations Championship,Twickenham,London,England,FALSE,FALSE
08/03/1930,Wales,Ireland,12,7,1930 Five Nations Championship,St Helen's,Swansea,Wales,FALSE,FALSE
15/03/1930,England,Scotland,0,0,1930 Five Nations Championship,Twickenham Stadium,London,England,FALSE,FALSE
21/04/1930,France,Wales,0,11,1930 Five Nations Championship,Stade Colombes,Paris,France,FALSE,FALSE
01/01/1931,France,Ireland,3,0,1931 Five Nations Championship,Colombes,Paris,France,FALSE,FALSE
17/01/1931,England,Wales,11,11,1931 Five Nations Championship,Twickenham,London,England,FALSE,FALSE
24/01/1931,Scotland,France,6,4,1931 Five Nations Championship,Murrayfield,Edinburgh,Scotland,FALSE,FALSE
07/02/1931,Wales,Scotland,13,8,1931 Five Nations Championship,National Stadium,Cardiff,Wales,FALSE,FALSE
14/02/1931,England,Ireland,5,6,1931 Five Nations Championship,Twickenham,London,England,FALSE,FALSE
28/02/1931,Ireland,Scotland,8,5,1931 Five Nations Championship,Lansdowne Road,Dublin,Ireland,FALSE,FALSE
28/02/1931,Wales,France,35,3,1931 Five Nations Championship,St Helen's,Swansea,Wales,FALSE,FALSE
14/03/1931,Ireland,Wales,3,15,1931 Five Nations Championship,Ravenhill,Belfast,Ireland,FALSE,FALSE
21/03/1931,Scotland,England,28,19,1931 Five Nations Championship,Murrayfield Stadium,Edinburgh,Scotland,FALSE,FALSE
06/04/1931,France,England,14,13,1931 Five Nations Championship,Stade Yves-du-Manoir,Colombes,France,FALSE,FALSE
12/09/1931,New Zealand,Australia,20,13,1931 Australia tour of New Zealand,Eden Park,Auckland,New Zealand,FALSE,FALSE
05/12/1931,Wales,South Africa,3,8,1931–32 South Africa tour of Great Britain and Ireland,St. Helen's,Swansea,Wales,FALSE,FALSE
19/12/1931,Ireland,South Africa,3,8,1931–32 South Africa rugby union tour of Britain and Ireland,Lansdowne Road,Dublin,Ireland,FALSE,FALSE
