date,home_team,away_team,home_score,away_score,competition,stadium,city,country,neutral,world_cup
24/07/1999,New Zealand,Australia,34,15,1999 Tri Nations Series,Eden Park,Auckland,New Zealand,FALSE,FALSE
07/08/1999,South Africa,New Zealand,18,34,1999 Tri Nations Series,Loftus Versfeld Stadium,Pretoria,South Africa,FALSE,FALSE
14/08/1999,South Africa,Australia,10,9,1999 Tri Nations Series,Newlands Stadium,Cape Town,South Africa,FALSE,FALSE
21/08/1999,Scotland,Argentina,22,31,1999 Rugby World Cup warm-up match,Murrayfield Stadium,Edinburgh,Scotland,FALSE,FALSE
28/08/1999,Wales,France,34,23,1999 Rugby World Cup warm-up match,Millennium Stadium,Cardiff,Wales,FALSE,FALSE
28/08/1999,Australia,New Zealand,28,7,1999 Tri Nations Series,Stadium Australia,Sydney,Australia,FALSE,FALSE
28/08/1999,Ireland,Argentina,32,24,1999 Rugby World Cup warm-up,Lansdowne Road,Dublin,Ireland,FALSE,FALSE
01/10/1999,Wales,Argentina,23,18,1999 Rugby World Cup Pool match,Millennium Stadium,Cardiff,Wales,FALSE,TRUE
02/10/1999,England,Italy,67,7,1999 Rugby World Cup Pool Stage,Twickenham,London,England,FALSE,TRUE
03/10/1999,Scotland,South Africa,29,46,1999 Rugby World Cup,Murrayfield,Edinburgh,Scotland,FALSE,TRUE
09/10/1999,England,New Zealand,16,30,1999 Rugby World Cup Pool Stage,Twickenham,London,England,FALSE,TRUE
10/10/1999,Ireland,Australia,3,23,1999 Rugby World Cup Pool match,Lansdowne Road,Dublin,Ireland,FALSE,TRUE
14/10/1999,New Zealand,Italy,101,3,1999 Rugby World Cup,McAlpine Stadium,Huddersfield,England,TRUE,TRUE
20/10/1999,Argentina,Ireland,28,24,1999 Rugby World Cup,Stade Félix Bollaert,Lens,France,TRUE,TRUE
23/10/1999,Wales,Australia,9,24,1999 Rugby World Cup Quarter-finals,Millennium Stadium,Cardiff,Wales,FALSE,TRUE
24/10/1999,England,South Africa,21,44,1999 Rugby World Cup Quarter-final,Stade de France,Paris,France,TRUE,TRUE
24/10/1999,Scotland,New Zealand,18,30,1999 Rugby World Cup Quarter Final,Murrayfield,Edinburgh,Scotland,FALSE,TRUE
24/10/1999,Argentina,France,26,47,1999 Rugby World Cup,Lansdowne Road,Dublin,Ireland,TRUE,TRUE
30/10/1999,Australia,South Africa,27,21,1999 Rugby World Cup Semi-final,Twickenham,London,England,TRUE,TRUE
31/10/1999,New Zealand,France,31,43,1999 Rugby World Cup,Twickenham,London,England,TRUE,TRUE
04/11/1999,South Africa,New Zealand,22,18,1999 Rugby World Cup,Millennium Stadium,Cardiff,Wales,TRUE,TRUE
06/11/1999,Australia,France,35,12,1999 Rugby World Cup Final,Millennium Stadium,Cardiff,Wales,TRUE,TRUE
05/02/2000,England,Ireland,50,18,2000 Six Nations Championship,Twickenham,London,England,FALSE,FALSE
05/02/2000,Wales,France,3,36,2000 Six Nations Championship,Millennium Stadium,Cardiff,Wales,FALSE,FALSE
05/02/2000,Italy,Scotland,34,20,2000 Six Nations Championship,Stadio Flaminio,Rome,Italy,FALSE,FALSE
19/02/2000,Ireland,Scotland,44,22,2000 Six Nations Championship,Lansdowne Road,Dublin,Ireland,FALSE,FALSE
19/02/2000,France,England,9,15,2000 Six Nations Championship,Stade de France,Saint-Denis,France,FALSE,FALSE
19/02/2000,Wales,Italy,47,16,2000 Six Nations,Millennium Stadium,Cardiff,Wales,FALSE,FALSE
04/03/2000,Scotland,France,16,28,2000 Six Nations Championship,Murrayfield,Edinburgh,Scotland,FALSE,FALSE
04/03/2000,Ireland,Italy,60,13,2000 Six Nations Championship,Lansdowne Road,Dublin,Ireland,FALSE,FALSE
04/03/2000,England,Wales,46,12,2000 Six Nations Championship,Twickenham,London,England,FALSE,FALSE
18/03/2000,Wales,Scotland,26,18,2000 Six Nations Championship,Millennium Stadium,Cardiff,Wales,FALSE,FALSE
18/03/2000,Italy,England,12,59,2000 Six Nations Championship,Stadio Flaminio,Rome,Italy,FALSE,FALSE
19/03/2000,France,Ireland,25,27,2000 Six Nations Championship,Stade de France,Saint-Denis,France,FALSE,FALSE
01/04/2000,France,Italy,42,31,2000 Six Nations Championship,Stade de France,Saint-Denis,France,FALSE,FALSE
01/04/2000,Ireland,Wales,19,23,2000 Six Nations Championship,Lansdowne Road,Dublin,Ireland,FALSE,FALSE
02/04/2000,Scotland,England,19,13,2000 Six Nations Championship,Murrayfield Stadium,Edinburgh,Scotland,FALSE,FALSE
03/06/2000,Argentina,Ireland,34,23,2000 Ireland rugby union tour of The Americas,Estadio Ricardo Etcheverry,Buenos Aires,Argentina,FALSE,FALSE
17/06/2000,South Africa,England,18,13,2000 England rugby union tour of South Africa,Loftus Versfeld,Pretoria,South Africa,FALSE,FALSE
17/06/2000,Australia,Argentina,53,6,2000 Argentina tour of Australia and England,Ballymore Stadium,Brisbane,Australia,FALSE,FALSE
24/06/2000,New Zealand,Scotland,69,20,2000 Scotland rugby union tour of New Zealand,Carisbrook,Dunedin,New Zealand,FALSE,FALSE
24/06/2000,South Africa,England,22,27,2000 England rugby union tour of South Africa,Free State Stadium,Bloemfontein,South Africa,FALSE,FALSE
24/06/2000,Australia,Argentina,32,25,2000 Argentina tour of Australia and England,Canberra Stadium,Canberra,Australia,FALSE,FALSE
01/07/2000,New Zealand,Scotland,48,14,2000 Scotland rugby union tour of New Zealand,Eden Park,Auckland,New Zealand,FALSE,FALSE
08/07/2000,Australia,South Africa,44,23,2000 Summer International,Docklands Stadium,Melbourne,Australia,FALSE,FALSE
15/07/2000,Australia,New Zealand,35,39,2000 Tri Nations Series,Stadium Australia,Sydney,Australia,FALSE,FALSE
22/07/2000,New Zealand,South Africa,25,12,2000 Tri Nations Series,Lancaster Park,Christchurch,New Zealand,FALSE,FALSE
29/07/2000,Australia,South Africa,26,6,2000 Tri Nations Series,Stadium Australia,Sydney,Australia,FALSE,FALSE
05/08/2000,New Zealand,Australia,23,24,2000 Tri Nations Series,Wellington Regional Stadium,Wellington,New Zealand,FALSE,FALSE
19/08/2000,South Africa,New Zealand,46,40,2000 Tri Nations Series,Ellis Park,Johannesburg,South Africa,FALSE,FALSE
26/08/2000,South Africa,Australia,18,19,2000 Tri Nations Series,Kings Park Stadium,Durban,South Africa,FALSE,FALSE
04/11/2000,France,Australia,13,18,2000 Australia tour of Great Britain and France,Stade de France,Saint-Denis,France,FALSE,FALSE
11/11/2000,Scotland,Australia,9,30,2000 Autumn International,Murrayfield Stadium,Edinburgh,Scotland,FALSE,FALSE
11/11/2000,France,New Zealand,26,39,2000 end of year test,Stade de France,Saint-Denis,France,FALSE,FALSE
12/11/2000,Argentina,South Africa,33,37,"2000 South Africa tour of Argentina, Great Britain and Ireland",River Plate Stadium,Buenos Aires,Argentina,FALSE,FALSE
18/11/2000,England,Australia,22,19,2000 Autumn International,Twickenham Stadium,London,England,FALSE,FALSE
18/11/2000,France,New Zealand,42,33,2000 end of year test,Stade Vélodrome,Marseilles,France,FALSE,FALSE
19/11/2000,Ireland,South Africa,18,28,2000 end-of-year test,Lansdowne Road,Dublin,Ireland,FALSE,FALSE
25/11/2000,England,Argentina,19,0,2000 Autumn International,Twickenham,London,England,FALSE,FALSE
25/11/2000,Italy,New Zealand,19,56,2000 end-of-year internationals,Stadio Luigi Ferraris,Genoa,Italy,FALSE,FALSE
26/11/2000,Wales,South Africa,13,23,"2000 South Africa tour of Argentina, Great Britain and Ireland",Millennium Stadium,Cardiff,Wales,FALSE,FALSE
02/12/2000,England,South Africa,25,17,2000 Autumn International,Twickenham,London,England,FALSE,FALSE
03/02/2001,Italy,Ireland,22,41,2001 Six Nations Championship,Stadio Flaminio,Rome,Italy,FALSE,FALSE
03/02/2001,Wales,England,15,44,2001 Six Nations Championship,Millennium Stadium,Cardiff,Wales,FALSE,FALSE
04/02/2001,France,Scotland,16,6,2001 Six Nations Championship,Stade de France,Saint-Denis,France,FALSE,FALSE
17/02/2001,England,Italy,80,23,2001 Six Nations Championship,Twickenham,London,England,FALSE,FALSE
17/02/2001,Ireland,France,22,15,2001 Six Nations Championship,Lansdowne Road,Dublin,Ireland,FALSE,FALSE
17/02/2001,Scotland,Wales,28,28,2001 Six Nations Championship,Murrayfield Stadium,Edinburgh,Scotland,FALSE,FALSE
03/03/2001,Italy,France,19,30,2001 Six Nations Championship,Stadio Flaminio,Rome,Italy,FALSE,FALSE
03/03/2001,England,Scotland,43,3,2001 Six Nations Championship,Twickenham Stadium,London,England,FALSE,FALSE
17/03/2001,France,Wales,35,43,2001 Six Nations Championship,Stade de France,Paris,France,FALSE,FALSE
17/03/2001,Scotland,Italy,23,19,2001 Six Nations Championship,Murrayfield,Edinburgh,Scotland,FALSE,FALSE
07/04/2001,England,France,48,19,2001 Six Nations Championship,Twickenham,London,England,FALSE,FALSE
08/04/2001,Italy,Wales,23,33,2001 Six Nations,Stadio Flaminio,Rome,Italy,FALSE,FALSE
16/06/2001,South Africa,France,23,32,2001 France rugby union tour,Ellis Park,Johannesburg,South Africa,FALSE,FALSE
23/06/2001,South Africa,France,20,15,2001 France rugby union tour,Kings Park,Durban,South Africa,FALSE,FALSE
23/06/2001,New Zealand,Argentina,67,19,2001 Argentina tour of New Zealand and Great Britain,Jade Stadium,Christchurch,New Zealand,FALSE,FALSE
30/06/2001,New Zealand,France,37,12,2001 French tour,WestpacTrust Stadium,Wellington,New Zealand,FALSE,FALSE
30/06/2001,South Africa,Italy,60,14,2001 Italy rugby union tour,Boet Erasmus Stadium,Port Elizabeth,South Africa,FALSE,FALSE
14/07/2001,Argentina,Italy,38,17,2001 Italy rugby union tour of Argentina,Ferrocaril Oeste,Buenos Aires,Argentina,FALSE,FALSE
21/07/2001,South Africa,New Zealand,3,12,2001 Tri Nations Series,Newlands,Cape Town,South Africa,FALSE,FALSE
28/07/2001,South Africa,Australia,20,15,2001 Tri Nations Series,Loftus Versfeld Stadium,Pretoria,South Africa,FALSE,FALSE
11/08/2001,New Zealand,Australia,15,23,2001 Tri Nations Series,Carisbrook,Dunedin,New Zealand,FALSE,FALSE
18/08/2001,Australia,South Africa,14,14,2001 Tri Nations Series,Subiaco Oval,Perth,Australia,FALSE,FALSE
25/08/2001,New Zealand,South Africa,26,15,2001 Tri Nations Series,Eden Park,Auckland,New Zealand,FALSE,FALSE
01/09/2001,Australia,New Zealand,29,26,2001 Tri Nations Series,Stadium Australia,Sydney,Australia,FALSE,FALSE
22/09/2001,Scotland,Ireland,32,10,2001 Six Nations Championship,Murrayfield Stadium,Edinburgh,Scotland,FALSE,FALSE
13/10/2001,Wales,Ireland,6,36,2001 Six Nations Championship,Millennium Stadium,Cardiff,Wales,FALSE,FALSE
20/10/2001,Ireland,England,20,14,2001 Six Nations Championship,Lansdowne Road,Dublin,Ireland,FALSE,FALSE
10/11/2001,Wales,Argentina,16,30,2001 Autumn International,Millennium Stadium,Cardiff,Wales,FALSE,FALSE
10/11/2001,England,Australia,21,15,2001 Autumn International,Twickenham Stadium,London,England,FALSE,FALSE
10/11/2001,France,South Africa,20,10,2001 Autumn International,Stade de France,Saint-Denis,France,FALSE,FALSE
17/11/2001,France,Australia,14,13,2001 Australia tour of Europe,Stade Vélodrome,Marseille,France,FALSE,FALSE
17/11/2001,Ireland,New Zealand,29,40,2001 New Zealand rugby union tour,Lansdowne Road,Dublin,Ireland,FALSE,FALSE
17/11/2001,Italy,South Africa,26,54,2001 autumn internationals,Stadio Luigi Ferraris,Genoa,Italy,FALSE,FALSE
18/11/2001,Scotland,Argentina,16,25,2001 Autumn International,Murrayfield Stadium,Edinburgh,Scotland,FALSE,FALSE
24/11/2001,Scotland,New Zealand,6,37,2001 New Zealand rugby union tour,Murrayfield,Edinburgh,Scotland,FALSE,FALSE
24/11/2001,England,South Africa,29,9,2001 Autumn International,Twickenham,London,England,FALSE,FALSE
25/11/2001,Wales,Australia,13,21,2001 Australia tour of Europe,Millennium Stadium,Cardiff,Wales,FALSE,FALSE
01/12/2001,Argentina,New Zealand,20,24,"2004 New Zealand tour of Ireland, Scotland and Argentina",River Plate Stadium,Buenos Aires,Argentina,FALSE,FALSE
02/02/2002,Scotland,England,3,29,2002 Six Nations Championship,Murrayfield Stadium,Edinburgh,Scotland,FALSE,FALSE
02/02/2002,France,Italy,33,12,2002 Six Nations Championship,Stade de France,Saint-Denis,France,FALSE,FALSE
03/02/2002,Ireland,Wales,54,10,2002 Six Nations Championship,Lansdowne Road,Dublin,Ireland,FALSE,FALSE
16/02/2002,Wales,France,33,37,2002 Six Nations Championship,Millennium Stadium,Cardiff,Wales,FALSE,FALSE
16/02/2002,Italy,Scotland,12,29,2002 Six Nations Championship,Stadio Flaminio,Rome,Italy,FALSE,FALSE
16/02/2002,England,Ireland,45,11,2002 Six Nations Championship,Twickenham,London,England,FALSE,FALSE
02/03/2002,Ireland,Scotland,43,22,2002 Six Nations Championship,Lansdowne Road,Dublin,Ireland,FALSE,FALSE
02/03/2002,Wales,Italy,44,20,2002 Six Nations,Millennium Stadium,Cardiff,Wales,FALSE,FALSE
02/03/2002,France,England,20,15,2002 Six Nations Championship,Stade de France,Saint-Denis,France,FALSE,FALSE
22/03/2002,Scotland,France,10,22,2002 Six Nations Championship,Murrayfield,Edinburgh,Scotland,FALSE,FALSE
23/03/2002,Ireland,Italy,32,17,2002 Six Nations Championship,Lansdowne Road,Dublin,Ireland,FALSE,FALSE
23/03/2002,England,Wales,50,10,2002 Six Nations Championship,Twickenham,London,England,FALSE,FALSE
06/04/2002,Wales,Scotland,22,27,2002 Six Nations Championship,Millennium Stadium,Cardiff,Wales,FALSE,FALSE
06/04/2002,France,Ireland,44,5,2002 Six Nations Championship,Stade de France,Saint-Denis,France,FALSE,FALSE
07/04/2002,Italy,England,9,45,2002 Six Nations Championship,Stadio Flaminio,Rome,Italy,FALSE,FALSE
08/06/2002,South Africa,Wales,34,19,2002 Wales tour of South Africa,Free State Stadium,Bloemfontein,South Africa,FALSE,FALSE
08/06/2002,New Zealand,Italy,64,10,2002 Italy rugby union tour,Waikato Stadium,Hamilton,New Zealand,FALSE,FALSE
15/06/2002,South Africa,Wales,19,8,2002 Wales tour of South Africa,Newlands,Cape Town,South Africa,FALSE,FALSE
15/06/2002,Argentina,France,28,27,2002 France tour of Argentina and Australia,José Amalfitani Stadium,Buenos Aires,Argentina,FALSE,FALSE
15/06/2002,New Zealand,Ireland,15,6,2002 Ireland rugby union tour of New Zealand,Carisbrook,Dunedin,New Zealand,FALSE,FALSE
22/06/2002,Argentina,England,18,26,2002 England tour of Argentina,Vélez Sársfield,Buenos Aires,Argentina,FALSE,FALSE
22/06/2002,New Zealand,Ireland,40,8,2002 Ireland rugby union tour of New Zealand,Eden Park,Auckland,New Zealand,FALSE,FALSE
22/06/2002,Australia,France,29,17,2002 France tour of Argentina and Australia,Docklands Stadium,Melbourne,Australia,FALSE,FALSE
29/06/2002,Australia,France,31,25,2002 France tour of Argentina and Australia,Stadium Australia,Sydney,Australia,FALSE,FALSE
29/06/2002,South Africa,Argentina,49,29,2002 Argentina tour of South Africa and Europe,Pam Brink Stadium,Springs,South Africa,FALSE,FALSE
13/07/2002,New Zealand,Australia,12,6,2002 Tri Nations Series,Lancaster Park,Christchurch,New Zealand,FALSE,FALSE
20/07/2002,New Zealand,South Africa,41,20,2002 Tri Nations Series,Westpac Stadium,Wellington,New Zealand,FALSE,FALSE
27/07/2002,Australia,South Africa,38,27,2002 Tri Nations Series,Brisbane Cricket Ground,Brisbane,Australia,FALSE,FALSE
03/08/2002,Australia,New Zealand,16,14,2002 Tri Nations Series,Stadium Australia,Sydney,Australia,FALSE,FALSE
10/08/2002,South Africa,New Zealand,23,30,2002 Tri Nations Series,Kings Park Stadium,Durban,South Africa,FALSE,FALSE
17/08/2002,South Africa,Australia,33,31,2002 Tri Nations Series,Ellis Park Stadium,Johannesburg,South Africa,FALSE,FALSE
02/11/2002,Argentina,Australia,6,17,2002 Australia tour of Argentina and Europe,River Plate Stadium,Buenos Aires,Argentina,FALSE,FALSE
09/11/2002,England,New Zealand,31,28,2002 Autumn International,Twickenham,London,England,FALSE,FALSE
09/11/2002,Ireland,Australia,18,9,2002 Autumn International,Lansdowne Road,Dublin,Ireland,FALSE,FALSE
09/11/2002,France,South Africa,30,10,2002 end-of-year rugby union internationals,Stade Vélodrome,Marseille,France,FALSE,FALSE
16/11/2002,Scotland,South Africa,21,6,2002 South Africa rugby union tour of Europe,Murrayfield,Edinburgh,Scotland,FALSE,FALSE
16/11/2002,England,Australia,32,31,2002 Autumn International,Twickenham Stadium,London,England,FALSE,FALSE
16/11/2002,France,New Zealand,20,20,2002 New Zealand tour of Europe,Stade de France,Saint-Denis,France,FALSE,FALSE
16/11/2002,Italy,Argentina,6,38,2002 Argentina rugby union tour of South Africa and Europe,Stadio Flaminio,Rome,Italy,FALSE,FALSE
23/11/2002,Ireland,Argentina,16,7,2002 Autumn Internationals,Lansdowne Road,Dublin,Ireland,FALSE,FALSE
23/11/2002,England,South Africa,53,3,2002 Autumn International,Twickenham,London,England,FALSE,FALSE
23/11/2002,Italy,Australia,3,34,2002 Australia tour of Argentina and Europe,Stadio Luigi Ferraris,Genova,Italy,FALSE,FALSE
23/11/2002,Wales,New Zealand,17,43,2002 Autumn International,Millennium Stadium,Cardiff,Wales,FALSE,FALSE
15/02/2003,England,France,25,17,2003 Six Nations Championship,Twickenham,London,England,FALSE,FALSE
15/02/2003,Italy,Wales,30,22,2003 Six Nations,Stadio Flaminio,Rome,Italy,FALSE,FALSE
16/02/2003,Scotland,Ireland,6,36,2003 Six Nations Championship,Murrayfield Stadium,Edinburgh,Scotland,FALSE,FALSE
22/02/2003,Italy,Ireland,13,37,2003 Six Nations Championship,Stadio Flaminio,Rome,Italy,FALSE,FALSE
22/02/2003,Wales,England,9,26,2003 Six Nations Championship,Millennium Stadium,Cardiff,Wales,FALSE,FALSE
23/02/2003,France,Scotland,38,3,2003 Six Nations Championship,Stade de France,Saint-Denis,France,FALSE,FALSE
08/03/2003,Scotland,Wales,30,22,2003 Six Nations Championship,Murrayfield Stadium,Edinburgh,Scotland,FALSE,FALSE
08/03/2003,Ireland,France,15,12,2003 Six Nations Championship,Lansdowne Road,Dublin,Ireland,FALSE,FALSE
09/03/2003,England,Italy,40,5,2003 Six Nations Championship,Twickenham,London,England,FALSE,FALSE
22/03/2003,England,Scotland,40,9,2003 Six Nations Championship,Twickenham Stadium,London,England,FALSE,FALSE
22/03/2003,Wales,Ireland,24,25,2003 Six Nations Championship,Millennium Stadium,Cardiff,Wales,FALSE,FALSE
23/03/2003,Italy,France,27,53,2003 Six Nations Championship,Stadio Flaminio,Rome,Italy,FALSE,FALSE
29/03/2003,France,Wales,33,5,2003 Six Nations Championship,Stade de France,Paris,France,FALSE,FALSE
29/03/2003,Scotland,Italy,33,25,2003 Six Nations Championship,Murrayfield,Edinburgh,Scotland,FALSE,FALSE
30/03/2003,Ireland,England,6,42,2003 Six Nations Championship,Lansdowne Road,Dublin,Ireland,FALSE,FALSE
07/06/2003,Australia,Ireland,45,16,2003 Ireland tour of Oceania,Subiaco Oval,Perth,Australia,FALSE,FALSE
07/06/2003,South Africa,Scotland,29,25,2003 Scotland rugby union tour of South Africa,Kings Park Stadium,Durban,South Africa,FALSE,FALSE
14/06/2003,South Africa,Scotland,28,19,2003 Scotland rugby union tour of South Africa,Ellis Park,Johannesburg,South Africa,FALSE,FALSE
14/06/2003,Argentina,France,10,6,2003 France tour of Argentina and New Zealand,José Amalfitani Stadium,Buenos Aires,Argentina,FALSE,FALSE
14/06/2003,New Zealand,England,13,15,2003 England rugby union tour of Australasia,Westpac Stadium,Wellington,New Zealand,FALSE,FALSE
14/06/2003,Australia,Wales,30,10,2003 Wales tour of Australia and New Zealand,Stadium Australia,Sydney,Australia,FALSE,FALSE
20/06/2003,Argentina,France,33,32,2003 France tour of Argentina and New Zealand,José Amalfitani Stadium,Buenos Aires,Argentina,FALSE,FALSE
21/06/2003,Australia,England,14,25,2003 England tour of Australia and New Zealand,Docklands Stadium,Melbourne,Australia,FALSE,FALSE
21/06/2003,New Zealand,Wales,55,3,2003 Wales tour of Australia and New Zealand,Waikato Stadium,Hamilton,New Zealand,FALSE,FALSE
28/06/2003,New Zealand,France,31,23,2003 French tour,Jade Stadium,Christchurch,New Zealand,FALSE,FALSE
28/06/2003,South Africa,Argentina,26,25,2003 Argentina tour of South Africa,Boet Erasmus Stadium,Port Elizabeth,South Africa,FALSE,FALSE
12/07/2003,South Africa,Australia,26,22,2003 Tri Nations Series,Newlands Stadium,Cape Town,South Africa,FALSE,FALSE
19/07/2003,South Africa,New Zealand,16,52,2003 Tri Nations Series,Loftus Versfeld Stadium,Pretoria,South Africa,FALSE,FALSE
26/07/2003,Australia,New Zealand,21,50,2003 Tri Nations Series,Stadium Australia,Sydney,Australia,FALSE,FALSE
02/08/2003,Australia,South Africa,29,9,2003 Tri Nations Series,Lang Park,Brisbane,Australia,FALSE,FALSE
09/08/2003,New Zealand,South Africa,19,11,2003 Tri Nations Series,Carisbrook,Dunedin,New Zealand,FALSE,FALSE
16/08/2003,New Zealand,Australia,21,17,2003 Tri Nations Series,Eden Park,Auckland,New Zealand,FALSE,FALSE
16/08/2003,Ireland,Wales,35,12,2003 Rugby World Cup warm-up tests,Lansdowne Road,Dublin,Ireland,FALSE,FALSE
23/08/2003,Wales,England,9,43,2003 Rugby World Cup warm-up,Millennium Stadium,Cardiff,Wales,FALSE,FALSE
23/08/2003,Scotland,Italy,47,15,2003 Rugby World Cup warm-up matches,Murrayfield,Edinburgh,Scotland,FALSE,FALSE
30/08/2003,France,England,17,16,2003 Rugby World Cup warm-up,Stade Vélodrome,Marseille,France,FALSE,FALSE
30/08/2003,Ireland,Italy,61,6,2003 Rugby World Cup warm-up matches,Thomond Park,Limerick,Ireland,FALSE,FALSE
30/08/2003,Wales,Scotland,23,9,2003 Rugby World Cup warm-up,Millennium Stadium,Cardiff,Wales,FALSE,FALSE
06/09/2003,Scotland,Ireland,10,29,2003 Rugby World Cup warm-up tests,Murrayfield Stadium,Edinburgh,Scotland,FALSE,FALSE
06/09/2003,England,France,45,14,2003 Rugby World Cup warm-up,Twickenham,London,England,FALSE,FALSE
10/10/2003,Australia,Argentina,24,8,2003 Rugby World Cup Pool match,Stadium Australia,Sydney,Australia,FALSE,TRUE
11/10/2003,New Zealand,Italy,70,7,2003 Rugby World Cup,Colonial Stadium,Melbourne,Australia,TRUE,TRUE
18/10/2003,England,South Africa,25,6,2003 Rugby World Cup Pool C,Subiaco Oval,Perth,Australia,TRUE,TRUE
25/10/2003,Italy,Wales,15,27,2003 Rugby World Cup Pool D,Bruce Stadium,Canberra,Australia,TRUE,TRUE
25/10/2003,France,Scotland,51,9,2003 Rugby World Cup,Stadium Australia,Sydney,Australia,TRUE,TRUE
26/10/2003,Ireland,Argentina,16,15,2003 Rugby World Cup,Adelaide Oval,Adelaide,Australia,TRUE,TRUE
01/11/2003,Australia,Ireland,17,16,2003 Rugby World Cup Pool match,Docklands Stadium,Melbourne,Australia,FALSE,TRUE
02/11/2003,New Zealand,Wales,53,37,2003 Rugby World Cup Pool match,Stadium Australia,Sydney,Australia,TRUE,TRUE
08/11/2003,Australia,Scotland,33,16,2003 Rugby World Cup Quarter-final,Lang Park,Brisbane,Australia,FALSE,TRUE
09/11/2003,England,Wales,28,17,2003 Rugby World Cup quarter-final,Lang Park,Brisbane,Australia,TRUE,TRUE
09/11/2003,France,Ireland,43,21,2003 Rugby World Cup,Telstra Dome,Melbourne,Australia,TRUE,TRUE
09/11/2003,New Zealand,South Africa,29,9,2003 Rugby World Cup,Docklands Stadium,Melbourne,Australia,TRUE,TRUE
15/11/2003,Australia,New Zealand,22,10,2003 Rugby World Cup Semi-final,Stadium Australia,Sydney,Australia,FALSE,TRUE
16/11/2003,England,France,24,7,2003 Rugby World Cup semi-final,Telstra Stadium,Sydney,Australia,TRUE,TRUE
20/11/2003,New Zealand,France,40,13,2003 Rugby World Cup,Stadium Australia,Sydney,Australia,TRUE,TRUE
22/11/2003,Australia,England,17,20,2003 Rugby World Cup Final,Stadium Australia,Sydney,Australia,FALSE,TRUE
14/02/2004,France,Ireland,35,17,2004 Six Nations Championship,Stade de France,Saint-Denis,France,FALSE,FALSE
14/02/2004,Wales,Scotland,23,10,2004 Six Nations Championship,Millennium Stadium,Cardiff,Wales,FALSE,FALSE
15/02/2004,Italy,England,9,50,2004 Six Nations Championship,Stadio Flaminio,Rome,Italy,FALSE,FALSE
21/02/2004,France,Italy,25,0,2004 Six Nations Championship,Stade de France,Saint-Denis,France,FALSE,FALSE
21/02/2004,Scotland,England,13,35,2004 Six Nations Championship,Murrayfield Stadium,Edinburgh,Scotland,FALSE,FALSE
22/02/2004,Ireland,Wales,36,15,2004 Six Nations Championship,Lansdowne Road,Dublin,Ireland,FALSE,FALSE
06/03/2004,Italy,Scotland,20,14,2004 Six Nations Championship,Stadio Flaminio,Rome,Italy,FALSE,FALSE
06/03/2004,England,Ireland,13,19,2004 Six Nations Championship,Twickenham,London,England,FALSE,FALSE
07/03/2004,Wales,France,22,29,2004 Six Nations Championship,Millennium Stadium,Cardiff,Wales,FALSE,FALSE
20/03/2004,Ireland,Italy,19,3,2004 Six Nations Championship,Lansdowne Road,Dublin,Ireland,FALSE,FALSE
20/03/2004,England,Wales,31,21,2004 Six Nations Championship,Twickenham,London,England,FALSE,FALSE
21/03/2004,Scotland,France,0,31,2004 Six Nations Championship,Murrayfield,Edinburgh,Scotland,FALSE,FALSE
27/03/2004,Ireland,Scotland,37,16,2004 Six Nations Championship,Lansdowne Road,Dublin,Ireland,FALSE,FALSE
27/03/2004,Wales,Italy,44,10,2004 Six Nations,Millennium Stadium,Cardiff,Wales,FALSE,FALSE
27/03/2004,France,England,24,21,2004 Six Nations Championship,Stade de France,Saint-Denis,France,FALSE,FALSE
12/06/2004,Argentina,Wales,50,44,2004 Wales tour of Argentina and South Africa,Estadio Monumental José Fierro,Tucumán,Argentina,FALSE,FALSE
12/06/2004,New Zealand,England,36,3,2004 England rugby union tour of Australasia,Carisbrook,Dunedin,New Zealand,FALSE,FALSE
12/06/2004,South Africa,Ireland,31,17,2004 Ireland rugby union tour of South Africa,Vodacom Park,Bloemfontein,South Africa,FALSE,FALSE
13/06/2004,Australia,Scotland,35,15,2004 Scotland tour of Australia and New Zealand,Docklands Stadium,Melbourne,Australia,FALSE,FALSE
19/06/2004,Argentina,Wales,20,35,2004 Wales tour of Argentina and South Africa,Vélez Sársfield,Buenos Aires,Argentina,FALSE,FALSE
19/06/2004,New Zealand,England,36,12,2004 England rugby union tour of Australasia,Eden Park,Auckland,New Zealand,FALSE,FALSE
19/06/2004,South Africa,Ireland,26,17,2004 Ireland rugby union tour of South Africa,Newlands,Cape Town,South Africa,FALSE,FALSE
19/06/2004,Australia,Scotland,34,13,2004 Scotland tour of Australia and New Zealand,Stadium Australia,Sydney,Australia,FALSE,FALSE
26/06/2004,New Zealand,Argentina,41,7,2004 Argentina tour of New Zealand and Europe,Waikato Stadium,Hamilton,New Zealand,FALSE,FALSE
26/06/2004,Australia,England,51,15,2004 England tour of Australia and New Zealand,Lang Park,Brisbane,Australia,FALSE,FALSE
26/06/2004,South Africa,Wales,53,18,Wales tour of Argentina and South Africa,Loftus Versfeld,Pretoria,South Africa,FALSE,FALSE
17/07/2004,New Zealand,Australia,16,7,2004 Tri Nations Series,Wellington Regional Stadium,Wellington,New Zealand,FALSE,FALSE
24/07/2004,New Zealand,South Africa,23,21,2004 Tri Nations Series,Lancaster Park,Christchurch,New Zealand,FALSE,FALSE
31/07/2004,Australia,South Africa,30,26,2004 Tri Nations Series,Subiaco Oval,Perth,Australia,FALSE,FALSE
